MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
240,41,87,.471,7,22,.318,13,17,.765,15,23,38,22,8,6,13,22,102,,240,.540,.511,.253,.195,36.6,65.7,50.0,53.7,9.1,9.0,12.1,100.0,115.5,121.2,
240,41,78,.526,4,11,.364,21,26,.808,12,26,38,21,8,2,13,18,107,,240,.598,.551,.141,.333,34.3,63.4,50.0,51.2,9.1,3.1,12.7,100.0,121.2,115.5,
240,29,87,.333,6,20,.300,14,19,.737,13,33,46,15,6,5,15,22,78,,240,.409,.368,.230,.218,26.0,70.2,47.4,51.7,6.5,7.6,13.6,100.0,84.4,92.0,
240,33,81,.407,3,15,.200,16,24,.667,14,37,51,18,5,6,16,22,85,,240,.464,.426,.185,.296,29.8,74.0,52.6,54.5,5.4,9.0,14.9,100.0,92.0,84.4,
240,35,75,.467,7,16,.438,23,27,.852,6,32,38,16,5,3,13,16,100,,240,.576,.513,.213,.360,15.4,68.1,44.2,45.7,5.4,4.4,13.0,100.0,107.8,110.0,
240,40,93,.430,8,25,.320,14,16,.875,15,33,48,25,6,4,12,21,102,,240,.510,.473,.269,.172,31.9,84.6,55.8,62.5,6.5,6.8,10.7,100.0,110.0,107.8,
240,39,81,.481,12,25,.480,10,16,.625,6,33,39,26,8,5,16,24,100,,240,.568,.556,.309,.198,14.6,86.8,49.4,66.7,8.3,8.9,15.4,100.0,104.2,108.4,
240,35,77,.455,9,21,.429,25,30,.833,5,35,40,16,9,1,12,17,104,,240,.576,.513,.273,.390,13.2,85.4,50.6,45.7,9.4,1.8,11.7,100.0,108.4,104.2,
240,43,86,.500,5,23,.217,6,12,.500,8,22,30,28,12,8,11,17,97,,240,.531,.529,.267,.140,19.5,62.9,39.5,65.1,13.4,14.3,10.8,100.0,108.2,111.5,
240,39,76,.513,9,20,.450,13,18,.722,13,33,46,23,8,4,18,12,100,,240,.596,.572,.263,.237,37.1,80.5,60.5,59.0,8.9,6.3,17.7,100.0,111.5,108.2,
240,40,82,.488,10,24,.417,19,22,.864,8,33,41,23,1,3,8,13,109,,240,.594,.549,.293,.268,22.2,82.5,53.9,57.5,1.1,6.0,8.0,100.0,123.6,106.6,
240,37,83,.446,9,33,.273,11,13,.846,7,28,35,28,5,3,8,20,94,,240,.530,.500,.398,.157,17.5,77.8,46.1,75.7,5.7,5.2,8.3,100.0,106.6,123.6,
240,45,88,.511,16,33,.485,24,29,.828,12,34,46,30,7,9,14,21,130,,240,.645,.602,.375,.330,27.3,69.4,49.5,66.7,7.0,13.4,12.2,100.0,130.3,113.3,
240,39,90,.433,8,23,.348,27,33,.818,15,32,47,21,10,2,12,24,113,,240,.541,.478,.256,.367,30.6,72.7,50.5,53.8,10.0,3.6,10.3,100.0,113.3,130.3,
240,30,80,.375,8,26,.308,13,15,.867,16,37,53,13,5,5,15,17,81,,240,.468,.425,.325,.188,42.1,86.0,65.4,43.3,6.4,10.4,14.8,100.0,103.3,95.6,
240,29,68,.426,9,20,.450,8,18,.444,6,22,28,18,11,5,9,18,75,,240,.494,.493,.294,.265,14.0,57.9,34.6,62.1,14.0,9.3,10.6,100.0,95.6,103.3,
240,43,89,.483,13,28,.464,14,19,.737,13,27,40,25,7,7,13,29,113,,240,.580,.556,.315,.213,28.9,75.0,49.4,58.1,7.4,10.1,11.8,100.0,119.4,106.7,
240,36,81,.444,6,12,.500,23,30,.767,9,32,41,22,6,6,13,17,101,,240,.536,.481,.148,.370,25.0,71.1,50.6,61.1,6.3,9.8,12.1,100.0,106.7,119.4,
240,35,84,.417,7,21,.333,25,32,.781,11,27,38,15,8,5,9,14,102,,240,.520,.458,.250,.381,23.4,77.1,46.3,42.9,8.6,7.9,8.4,100.0,109.3,116.8,
240,45,82,.549,8,19,.421,11,18,.611,8,36,44,27,3,12,13,24,109,,240,.606,.598,.232,.220,22.9,76.6,53.7,60.0,3.2,19.0,12.6,100.0,116.8,109.3,
240,33,70,.471,6,12,.500,25,32,.781,4,33,37,20,4,1,10,19,97,,240,.577,.514,.171,.457,12.1,75.0,48.1,60.6,4.6,1.6,10.6,100.0,111.8,109.5,
240,37,86,.430,8,23,.348,13,14,.929,11,29,40,17,2,6,7,27,95,,240,.515,.477,.267,.163,25.0,87.9,51.9,45.9,2.3,10.3,7.1,100.0,109.5,111.8,
240,35,74,.473,9,21,.429,25,32,.781,8,29,37,17,9,4,19,25,104,,240,.590,.534,.284,.432,20.0,70.7,45.7,48.6,9.1,7.0,17.7,100.0,105.6,113.8,
240,39,81,.481,8,24,.333,26,29,.897,12,32,44,20,10,2,20,22,112,,240,.597,.531,.296,.358,29.3,80.0,54.3,51.3,10.2,3.8,17.6,100.0,113.8,105.6,
240,38,81,.469,9,22,.409,18,22,.818,7,32,39,19,5,6,13,25,103,,240,.568,.525,.272,.272,16.7,74.4,45.9,50.0,5.2,8.3,12.5,100.0,108.1,112.3,
240,40,83,.482,3,11,.273,24,33,.727,11,35,46,27,10,6,11,22,107,,240,.549,.500,.133,.398,25.6,83.3,54.1,67.5,10.5,10.2,10.1,100.0,112.3,108.1,
240,23,77,.299,7,27,.259,17,33,.515,18,28,46,9,7,4,27,24,70,,240,.382,.344,.351,.429,30.0,75.7,47.4,39.1,7.0,8.3,22.8,100.0,70.3,123.5,
240,41,80,.513,11,32,.344,30,36,.833,9,42,51,33,14,5,15,25,123,,240,.642,.581,.400,.450,24.3,70.0,52.6,80.5,14.1,10.0,13.5,100.0,123.5,70.3,
240,39,89,.438,3,16,.188,18,20,.900,7,34,41,19,5,2,12,22,99,,240,.506,.455,.180,.225,18.4,70.8,47.7,48.7,5.2,3.6,10.9,100.0,103.0,111.3,
240,41,90,.456,11,34,.324,14,21,.667,14,31,45,30,7,10,10,16,107,,240,.539,.517,.378,.233,29.2,81.6,52.3,73.2,7.3,13.7,9.2,100.0,111.3,103.0,
240,37,77,.481,7,13,.538,29,34,.853,13,31,44,12,6,5,14,26,110,,240,.598,.526,.169,.442,37.1,79.5,59.5,32.4,6.7,7.4,13.2,100.0,122.2,123.4,
240,39,77,.506,6,9,.667,27,34,.794,8,22,30,24,9,4,9,25,111,,240,.604,.545,.117,.442,20.5,62.9,40.5,61.5,10.0,6.3,8.9,100.0,123.4,122.2,
240,37,77,.481,4,15,.267,22,32,.688,13,35,48,26,7,7,19,18,100,,240,.549,.506,.195,.416,34.2,72.9,55.8,70.3,7.4,10.9,17.3,100.0,105.3,97.9,
240,35,89,.393,8,25,.320,15,21,.714,13,25,38,17,11,7,14,28,93,,240,.473,.438,.281,.236,27.1,65.8,44.2,48.6,11.6,11.3,12.5,100.0,97.9,105.3,
240,35,74,.473,10,21,.476,23,25,.920,5,27,32,27,10,3,14,20,103,,240,.606,.541,.284,.338,13.2,90.0,47.1,77.1,10.7,6.4,14.1,100.0,110.6,122.5,
